0:0:0:0:0:0:0:1 - - [27/May/2017:10:39:23 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:39:23 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:39:24 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:39:24 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:39:24 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:39:24 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:39:24 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:59:53 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [27/May/2017:10:59:54 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:59:54 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:59:55 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:59:55 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:59:55 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:59:55 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:59:55 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
